<>1111-T44,Sombra Compacta Pro Tratante (Repuesto) Plata Metálico,150,MP
<>1111-T45,Sombra Compacta Pro Tratante (Repuesto) Bordó Rojizo Satinado,150,MP
<>1143P-01,Sombra en Polvo Pro Pigmento Puro Negro    ,180,MP
<>1143P-07,Sombra en Polvo Pro Pigmento Puro Violeta Cromático       ,180,MP
<>1143P-08,Sombra en Polvo Pro Pigmento Puro Verde manzana       ,180,MP
<>1143P-09,Sombra en Polvo Pro Pigmento Puro Anaranjado  Cromático      ,180,MP
<>1143P-10,Sombra en Polvo Pro Pigmento Puro Rojo,180,MP
<>1143P-11,Sombra en Polvo Pro Pigmento Puro Amarillo,180,MP
<>1143P-12,Sombra en Polvo Pro Pigmento Puro Azul,180,MP
<>1143P-13,Sombra en Polvo Pro Pigmento Puro Anaranjado  Fluo                  ,180,MP
<>1143P-14,Sombra en Polvo Pro Pigmento Puro Verde esmeralda          ,180,MP
<>1143P-15,Sombra en Polvo Pro Pigmento Puro Fucsia magenta            ,180,MP
<>1143P-16,Sombra en Polvo Pro Pigmento Puro Turquesa Ciel            ,180,MP
<>1143P-17,Sombra en Polvo Pro Pigmento Puro Sandia           ,180,MP
<>1152P-01,Sombra en Polvo Pro Perla  Dorado,185,MP
<>1152P-02,Sombra en Polvo Pro Perla  Cobre,185,MP
<>1152P-03,Sombra en Polvo Pro Perla  Azul         ,185,MP
<>1152P-04,Sombra en Polvo Pro Perla  Rosa Dorado,185,MP
<>1152P-05,Sombra en Polvo Pro Perla  Fucsia    ,185,MP
<>1152P-06,Sombra en Polvo Pro Perla  Rojizo,185,MP
<>1152P-07,Sombra en Polvo Pro Perla  Violeta      ,185,MP
<>1152P-08,Sombra en Polvo Pro Perla  Verde        ,185,MP
<>1152P-09,Sombra en Polvo Pro Perla  Limón     ,185,MP
<>1152P-10,Sombra en Polvo Pro Perla  Negro Humo,185,MP
<>1152P-11,Sombra en Polvo Pro Perla  Anaranjado,185,MP
<>1152P-12,Sombra en Polvo Pro Perla  Plata Metálico,185,MP
<>1152P-13,Sombra en Polvo Pro Perla  Terracota Satinado ,185,MP
<>1200P,PALETAS PRO- Rubor Compacto-  Paleta de rubores 14unid.( x 4gr.c/u.)   ,1400,MP
<>1210-201,Rubor Compacto Rosa Satinado,150,MM
<>1210-202,Rubor Compacto Salmón Satinado,150,MM
<>1210-203,Rubor Compacto Marrón Claro Satinado,150,MM
<>1210-204,Rubor Compacto Rosa bebe semi-mate,150,MM
<>1210-205,Rubor Compacto Salmón tornasolado,150,MM
<>1210-206,Rubor Compacto Terracota Mate,150,MM
<>1210-207,Rubor Compacto Tostado Mate,150,MM
<>1210-208,Rubor Compacto Rosa Intenso Satinado,150,MM
<>1210-209,Rubor Compacto Rosa Claro Mate,150,MM
<>1210-210,Rubor Compacto Anaranjado claro semi - mate,150,MM
<>1210-211,Rubor Compacto Rosa Alilado NUEVO,150,MM
<>1220P-01,"Rubor Cremoso Pro - 2220P/ 01, 02, 03, 04, 05, 08     ",410,MP
<>1220P-02,"Rubor Cremoso Pro - 2220P/ 14, 06, 07, 11, 09, 10      ",410,MP
<>1221P,Rubor Cremoso Pro - 15 tonos de  Labiales - Tornasoladores -  Rubores Cremosos Siliconados,1550,MP
<>1300-01,Maquillaje Compacto Polvo Mate Natural,245,MM
<>1300-02,Maquillaje Compacto Polvo Mate Dulce de Leche     ,245,MM
<>1300-03,Maquillaje Compacto Polvo Mate Dorado Terracota,245,MM
<>1300-05,Maquillaje Compacto Polvo Mate Tonalizador Dorado,245,MM
<>1300R-01,Maquillaje Compacto Polvo Mate (Repuesto) Natural,155,MP
<>1300R-02,Maquillaje Compacto Polvo Mate (Repuesto) Dulce de Leche     ,155,MP
<>1300R-03,Maquillaje Compacto Polvo Mate (Repuesto) Dorado Terracota,155,MP
<>1300R-05,Maquillaje Compacto Polvo Mate (Repuesto) Tonalizador Dorado,155,MP
<>1310-00,Maquillaje Compacto Polvo Satinado Dulce de leche,245,MM
<>1310-01,Maquillaje Compacto Polvo Satinado Tostado Terracota,245,MM
<>1310-02,Maquillaje Compacto Polvo Satinado Tostado Intenso,245,MM
<>1310R-00,Maquillaje Compacto Polvo Satinado (Repuesto) Dulce de Leche,155,MM
<>1310R-01,Maquillaje Compacto Polvo Satinado (Repuesto) Tostado Terracota,155,MM
<>1310R-02,Maquillaje Compacto Polvo Satinado (Repuesto) Tostado intenso,155,MM
<>1320-01,Polvo Volátil Mate Marfil Translucido,250,MM
<>1320-03,Polvo Volátil Mate Natural Rosado Traslucido,250,MM
<>1500-501,Labial Humectante Coral  ,170,MM
<>1500-502,Labial Humectante Fucsia,170,MM
<>1500-504,Labial Humectante Beige Rosado,170,MM
<>1500-505,Labial Humectante Dorado suave,170,MM
<>1500-506,Labial Humectante Rosa Anaranjado,170,MM
<>1500-507,Labial Humectante Coral Anaranjado,170,MM
<>1500-508,Labial Humectante Magenta violáceo  ,170,MM
<>1500-509,Labial Humectante Bronce Oscuro,170,MM
<>1500-510,Labial Humectante Rojizo Perlado,170,MM
<>1500-511,Labial Humectante Beige Dulce de Leche,170,MM
<>1500-512,Labial Humectante Beige Rosado   ,170,MM
<>1500-513,Labial Humectante Rosa Pastel  ,170,MM
<>1500-516,Labial Humectante Colorado Bronce,170,MM
<>1500-518,Labial Humectante Coral Rojizo,170,MM
<>1500-519,Labial Humectante Beige Naranja Claro Suave ,170,MM
<>1500-520,Labial Humectante Rosa Perlado Traslucido   ,170,MM
<>1500-521,Labial Humectante Salmón Perlado,170,MM
<>1500-522,Labial Humectante Guinda  ,170,MM
<>1500-525,Labial Humectante Rosa Tornasol Oro Perlado,170,MM
<>1500-528,Labial Humectante Beige Nude,170,MM
<>1500-529,Labial Humectante Coral claro,170,MM
<>1500-531,Labial Humectante Violeta Claro,170,MM
<>1500-532,Labial Humectante Anaranjado,170,MM
<>1500-534,Labial Humectante Rojo Puro,170,MM
<>1500-535,Labial Humectante Uva,170,MM
<>1500-536,Labial Humectante Durazno,170,MM
<>1500-537,Labial Humectante Canela,170,MM
<>1500-538,Labial Humectante Rosa Dior,170,MM
<>1500M-01, Labial Mate Pro  NUDE  NUEVO,250,MM
<>1500M-02, Labial Mate Pro ROJO NUEVO,250,MM
<>1500M-03, Labial Mate Pro MARSALA NUEVO,250,MM
<>1500M-04, Labial Mate Pro DURAZNO NUEVO,250,MM
<>1500M-05, Labial Mate Pro ORQUIDEA NUEVO,250,MM
<>1501P,"PALETAS PRO- Labial Humectante - Rubor Cremoso Labial Vitamina- Paleta 32unid.( x 2,5gr.c/u.)   ",1550,MP
<>1502P-01,Labial Humectante Pro  (Mini Paleta) Gama de Rosas,450,MP
<>1502P-02,Labial Humectante Pro  (Mini Paleta) Gama de Anaranjados,450,MP
<>1502P-03,Labial Humectante Pro  (Mini Paleta) Gama de Marrones,450,MP
<>1502P-04,Labial Humectante Pro  (Mini Paleta) Gama de Rojos,450,MP
<>1510P-01, Barra  Correctiva  HDF con Nucleo Tratante -CLARO,275,MP
<>1510P-02, Barra  Correctiva  HDF con Nucleo Tratante-OSCURO,275,MP
<>1520P-00, Labial Vitamina Volumen Pro Traslúcido,185,MP
<>1520P-01, Labial Vitamina Volumen Pro Rosa,185,MP
<>1520P-02, Labial Vitamina Volumen Pro Beige,185,MP
<>1521P-00, Labial Humecto Tratante Pro Traslúcido,185,MP
<>1521P-01, Labial Humecto Tratante Pro CORAL,185,MP
<>1521P-02, Labial Humecto Tratante Pro Cereza Translucido ,185,MP
<>1530-01,Brillo Labial Líquido Rosa Bebe nacarado,145,MM
<>1530-02,Brillo Labial Líquido Rosa  Viejo nacarado,145,MM
<>1530-03,Brillo Labial Líquido Rosa  Dior nacarado,145,MM
<>1530-04,Brillo Labial Líquido Rosado Violáceo nacarado,145,MM
<>1530-05,Brillo Labial Líquido Arena Perlado nacarado,145,MM
<>1530-06,Brillo Labial Líquido Terracota Perlado nacarado,145,MM
<>1530-07,Brillo Labial Líquido Rojo ciruela nacarado,145,MM
<>1540-00,Brillo Labial Laca Larga Duración  Cristal,175,MM
<>1540-02,Brillo Labial Laca Larga Duración Gloss Ultraliviano,175,MM
<>1541-01,Brillo Labial Laca Color Coral   ,175,MM
<>1541-02,Brillo Labial Laca Color Fucsia                                 ,175,MM
<>1541-03,Brillo Labial Laca Color Rojo   ,175,MM
<>1541-04,Brillo Labial Laca Color Dulce de Leche                                    ,175,MM
<>1542-01,Brillo Labial Gel Tinta para Labios y Mejilla Cereza  NUEVO,200,MM
<>1542-07,Brillo Labial Colección Diamante Rosa claro   ,200,MM
<>1542-10,Brillo Labial Colección Diamante Plata  ,200,MM
<>1542-11,Brillo Labial Colección Diamante Coral ,200,MM
<>1543-05,Brillo Labial Réflex Rosa bebe con perla,175,MM
<>1543-08,Brillo Labial Réflex Anaranjado con perla,175,MM
<>1543-09,Brillo Labial Réflex Coral con perla      ,175,MM
<>1543-10,Brillo Labial Réflex Cristal con perla,175,MM
<>1543-11,Brillo Labial Réflex Dulce de Leche con perla,175,MM
<>1543-12,Brillo Labial Réflex Dorado con perla,175,MM
<>1600-00,Máscara Gel Reforzador para Cejas y Pestañas Cristal   ,185,MM
<>1610-01,Máscara para Pestañas a Prueba de Agua Negro,150,MM
<>1610-04,Máscara para Pestañas a Prueba de Agua Azul eléctrico  ,150,MM
<>1610-06,Máscara para Pestañas a Prueba de Agua Verde  ,150,MM
<>1620-01,Máscara para Pestañas Arqueadora Negro,185,MM
<>1620-03,Máscara para Pestañas Arqueadora Marrón   ,185,MM
<>1630-01,Máscara para Pestañas Extra Volumen Resistente al Agua Negro,215,MM
<>1640-01,Máscara para Pestañas Dúo (Pre Base + Máscara para Pestañas Negro),280,MM
<>1650-01,Máscara para pestañas Extra Flex Negro  ,200,MM
<>1700P-01,Maquillaje Cremoso Pro Correctivo  Marfil   ,270,MP
<>1700P-02,Maquillaje Cremoso Pro Correctivo  Beige Rosado     ,270,MP
<>1700P-03,Maquillaje Cremoso Pro Correctivo  Beige anaranjado ,270,MP
<>1700P-04,Maquillaje Cremoso Pro Correctivo  Beige Dorado,270,MP
<>1700P-05,Maquillaje Cremoso Pro Correctivo  Tostado Claro   ,270,MP
<>1700P-06,Maquillaje Cremoso Pro Correctivo  Beige Oscuro ,270,MP
<>1700P-07,Maquillaje Cremoso Pro Correctivo  Terracota Tostado    ,270,MP
<>1700P-08,Maquillaje Cremoso Pro Correctivo  Tostado,270,MP
<>1700P-09,Maquillaje Cremoso Pro Correctivo  Tostado Bronce,270,MP
<>1700P-10,Maquillaje Cremoso Pro Correctivo  Marrón Chocolate,270,MP
<>1700P-11,Maquillaje Cremoso Pro Correctivo  Marrón Café,270,MP
<>1701R-01,Maquillaje Cremoso Pro Correctivo (Repuesto)  Marfil   ,150,MP
